timestamp,x_accel,y_accel,z_accel,label
212852,8600,9924,-11176,0
212903,9764,10904,-10172,0
212955,8784,8700,-9440,0
213006,9116,8972,-10104,0
213057,8936,8324,-10116,0
213109,9208,8480,-10200,0
213160,9088,8288,-10304,0
213212,8588,8652,-10020,0
213263,8260,8852,-10520,0
213313,8540,9520,-10804,0
213364,7360,10120,-11548,0
213415,6728,9900,-10948,0
213466,5096,10868,-11860,0
213518,5216,11324,-11800,0
213569,5052,11168,-11740,0
213620,5744,10644,-11136,0
213671,4984,9856,-11508,0
213722,7792,9204,-9352,0
213773,7280,9816,-9504,0
213825,8048,10408,-9012,0
213876,8484,10764,-9072,0
213927,8144,11168,-9612,0
213978,7556,11424,-9360,0
214029,9144,11696,-8924,0
214081,7736,11056,-8644,0
214132,8516,11308,-8024,0
214184,7192,11500,-8180,0
214235,7400,11412,-7480,0
214286,6724,12208,-6936,0
214337,7536,14136,-6472,0
214388,6192,14324,-6356,0
214440,6816,15028,-6288,0
214491,6532,14468,-6012,0
214542,6736,14260,-6064,0
214593,7156,14964,-5256,0
214644,7416,14228,-5360,0
214695,6800,13620,-5116,0
214747,8448,14448,-4916,0
214801,8664,15176,-4704,0
214852,8632,14152,-5100,0
214903,9980,14112,-4788,0
214954,10212,13584,-4908,0
215006,9876,13208,-5496,0
215057,10372,12664,-5912,0
215108,11512,11440,-5712,0
215160,10144,10296,-6908,0
215211,10236,8892,-7860,0
215263,10456,8176,-7916,0
215314,9896,8044,-8384,0
215365,9704,8800,-8452,0
215416,9924,8924,-8100,0
215467,9996,8424,-8180,0
215519,9780,8340,-8688,0
215570,10096,8304,-9000,0
215621,9924,8612,-9248,0
215672,10136,8760,-9876,0
215723,10152,8396,-10064,0
215774,10896,8184,-10460,0
215826,11268,8492,-9964,0
215877,11108,7532,-10044,0
215928,11332,7676,-10424,0
215979,11644,7008,-10100,0
216030,11220,7060,-10800,0
216081,11672,6708,-9644,0
216133,11316,6320,-10144,0
216184,12168,6548,-10288,0
216236,11564,6920,-10872,0
216287,14344,7308,-9768,0
216337,15648,3912,-8368,0
216388,16984,1868,-7824,0
216439,14472,600,-7256,0
216490,15436,148,-7648,0
216542,13192,560,-7964,0
216593,11740,1012,-8824,0
216644,11744,1572,-8976,0
216695,11064,2796,-9296,0
216746,9940,3280,-8800,0
216830,9148,4752,-10664,0
216882,8832,5232,-12952,0
216933,10412,7336,-14288,0
216984,6936,7712,-14112,0
217035,7772,8080,-11692,0
217086,6496,10076,-13824,0
217138,7716,8912,-12800,0
217189,7892,9244,-13664,0
217240,7372,8988,-12680,0
217291,7328,8900,-12132,0
217343,5980,9352,-12708,0
217394,6376,9828,-13236,0
217445,7108,9388,-12288,0
217496,6620,8744,-12976,0
217547,7844,7996,-12124,0
217598,8716,7336,-14512,0
217650,10404,5396,-12268,0
217701,10580,4416,-12476,0
217751,10660,3864,-12356,0
217802,9440,3320,-12220,0
217853,8472,3968,-12852,0
217904,7468,4140,-13212,0
217956,6624,3776,-13708,0
218007,6148,3880,-15064,0
218058,5404,3700,-15400,0
218109,5548,4224,-15700,0
218160,4716,3592,-14304,0
218211,5384,4340,-14712,0
218263,6724,6012,-13688,0
218315,7408,5620,-14716,0
218366,6348,4632,-12708,0
218417,9660,4952,-12308,0
218468,6120,3476,-14196,0
218519,9472,5156,-13528,0
218571,8068,4808,-14404,0
218622,8408,4884,-14436,0
218673,6324,5864,-15128,0
218724,3384,5808,-14884,0
218775,4500,7240,-15216,0
218829,4396,7380,-14688,0
218881,3776,7980,-13464,0
218932,2692,8208,-13308,0
218983,4380,7292,-12756,0
219034,3224,6808,-13348,0
219086,4672,7800,-14600,0
219137,4608,7444,-14084,0
219188,4552,9720,-15040,0
219239,4004,9512,-13168,0
219291,4072,9308,-16008,0
219342,2716,7012,-10948,0
219394,7864,10072,-15348,0
219445,2508,8880,-14332,0
219496,3752,10072,-14472,0
219547,1420,8776,-13800,0
219598,1040,8252,-13396,0
219649,1384,9840,-13408,0
219701,724,9520,-12940,0
219752,-456,10024,-12372,0
219803,488,10360,-11856,0
219854,228,11072,-12680,0
219905,-100,10392,-12764,0
219956,120,9528,-12940,0
220008,80,9056,-13436,0
220059,-2068,8628,-13168,0
220110,-1716,9664,-12072,0
220161,-1500,10944,-12408,0
220212,-1108,10480,-12076,0
220264,-444,10464,-10668,0
220315,-1012,11640,-11468,0
220367,-2480,11836,-10976,0
220418,-2704,12076,-11144,0
220469,-2020,12252,-9692,0
220520,-908,14036,-9432,0
225578,3432,1996,-16068,1
225672,4440,3164,-18276,1
225723,4740,4424,-17540,1
225774,4308,4692,-17804,1
225825,5348,3588,-17128,1
225879,5168,3152,-16896,1
225931,4712,2380,-15260,1
225982,4816,3388,-14372,1
226033,4016,3808,-14900,1
226085,2304,3752,-14704,1
226136,2136,6160,-15280,1
226187,612,6280,-15288,1
226238,-1584,7144,-16316,1
226289,-3012,7220,-14980,1
226340,-1532,6300,-11288,1
226391,-4628,8476,-10712,1
226443,-4888,11440,-9444,1
226494,-5252,10704,-9796,1
226545,-5644,10296,-10560,1
226596,-3720,10676,-11408,1
226647,-5704,10004,-12584,1
226699,-3248,11236,-12156,1
226751,-3000,9700,-12756,1
226802,-1492,9148,-13632,1
226853,-1804,9248,-14608,1
226904,-528,9464,-13736,1
226955,-200,9856,-13988,1
227007,520,9520,-13328,1
227058,288,10000,-14496,1
227109,-1340,10772,-14800,1
227160,816,11336,-12456,1
227211,-892,10248,-11188,1
227262,-2708,11000,-10852,1
227314,-5164,12516,-12312,1
227365,-3904,15204,-12340,1
227416,-3216,13692,-10808,1
227467,172,12208,-9588,1
227518,-1448,9600,-10888,1
227569,-216,10772,-12932,1
227621,828,9144,-13184,1
227672,4524,6648,-15080,1
227723,5044,5668,-14148,1
227774,2452,4200,-16068,1
227825,2056,3000,-16836,1
227880,2880,4796,-15860,1
227931,3340,4848,-14736,1
227982,2124,4328,-14368,1
228033,2324,5264,-14352,1
228085,4288,6180,-14976,1
228136,3396,6800,-14368,1
228187,1168,6596,-13996,1
228238,3160,8480,-12708,1
228289,5172,9624,-15928,1
228340,3332,7284,-15444,1
228392,3816,6576,-14636,1
228443,1932,6504,-15544,1
228494,2888,6692,-15484,1
228545,3752,7004,-13892,1
228596,764,5932,-16036,1
228647,2868,6712,-15568,1
228699,1296,4524,-15456,1
228750,2692,6416,-16352,1
228801,1976,4340,-15372,1
228852,1872,5256,-15152,1
228904,776,6188,-14816,1
228955,964,6692,-15564,1
229006,-348,6020,-14964,1
229057,268,5368,-15288,1
229108,568,5916,-15448,1
229159,-620,4348,-15892,1
229211,-360,4368,-15748,1
229262,184,4192,-15776,1
229313,600,4156,-15224,1
229364,-448,3792,-15536,1
229415,-484,4052,-15896,1
229466,676,4188,-16088,1
229518,88,4216,-16112,1
229569,968,4456,-15940,1
229620,336,4132,-15688,1
229671,1028,4680,-15772,1
229722,1308,4832,-15512,1
229774,1600,4744,-15564,1
229825,1820,5152,-15896,1
229908,1600,5128,-15476,1
229960,2220,4848,-15364,1
