Timestamp(ms),Raw_ECG,Threshold
12734,15651,48000
12744,29911,48000
12754,33768,48000
12764,32936,48000
12777,33816,48000
12788,33880,48000
12798,34088,48000
12808,33896,48000
12818,34248,48000
12828,35112,48000
12838,34696,48000
12848,35992,48000
12858,36248,48000
12868,37081,48000
12878,37529,48000
12888,38361,48000
12898,39273,48000
12908,40841,48000
12918,41562,48000
12928,42138,48000
12938,42522,48000
12948,42522,48000
12958,40105,48000
12968,35464,48000
12978,32359,48000
12988,30135,48000
12998,29063,48000
13008,28839,48000
13018,28038,48000
13028,28214,48000
13038,28438,48000
13048,28903,48000
13058,28454,48000
13068,28662,48000
13078,28486,48000
13088,29319,48000
13098,29255,48000
13108,29607,48000
13118,30039,48000
13128,29783,48000
13138,30599,48000
13148,30023,48000
13158,30375,48000
13168,30679,48000
13178,30871,48000
13188,30695,48000
13198,31143,48000
13208,30647,48000
13218,31271,48000
13228,30743,48000
13238,30775,48000
13248,30599,48000
13258,31175,48000
13268,31495,48000
13278,30807,48000
13288,31335,48000
13298,31319,48000
13308,32071,48000
13318,32968,48000
13328,32856,48000
13338,34024,48000
13351,33848,48000
13362,32359,48000
13372,32055,48000
13382,30727,48000
13392,31127,48000
13402,31383,48000
13412,31175,48000
13422,31527,48000
13432,31207,48000
13442,31447,48000
13452,31319,48000
13462,33864,48000
13472,44986,48000
13482,54205,48000
13492,27142,48000
13502,19620,48000
13512,32824,48000
13522,33352,48000
13532,32856,48000
13542,33432,48000
13552,33752,48000
13562,33736,48000
13572,34216,48000
13582,34280,48000
13592,34984,48000
13602,35112,48000
13612,35944,48000
13622,36120,48000
13632,36856,48000
13642,37449,48000
13652,38489,48000
13662,39129,48000
13672,40665,48000
13682,41242,48000
13692,42282,48000
13702,42410,48000
13712,42826,48000
13722,40329,48000
13732,36889,48000
13742,33416,48000
13752,30407,48000
13762,29319,48000
13772,28630,48000
13782,28182,48000
13792,28374,48000
13802,28198,48000
13812,28695,48000
13822,28358,48000
13832,28550,48000
13842,29271,48000
13852,29255,48000
13862,29287,48000
13872,30487,48000
13882,29591,48000
13892,30455,48000
13902,30359,48000
13912,30663,48000
13925,30519,48000
13936,31895,48000
13946,30535,48000
13956,31239,48000
13966,31047,48000
13976,31015,48000
13986,31383,48000
13996,31367,48000
14006,30743,48000
14016,32007,48000
14026,31127,48000
14036,31943,48000
14046,31415,48000
14056,31719,48000
14066,32215,48000
14076,32247,48000
14086,33688,48000
14096,34920,48000
14106,33928,48000
14116,34472,48000
14126,32984,48000
14136,32487,48000
14146,31751,48000
14156,31575,48000
14166,31303,48000
14176,32311,48000
14186,31399,48000
14196,31479,48000
14206,32087,48000
14216,31431,48000
14226,33768,48000
14236,44970,48000
14246,54445,48000
14256,27222,48000
14266,20645,48000
14276,33976,48000
14286,33368,48000
14296,33560,48000
14306,33560,48000
14316,33688,48000
14326,34040,48000
14336,34616,48000
14346,35240,48000
14356,35384,48000
14366,34840,48000
14376,35720,48000
14386,36520,48000
14396,37001,48000
14406,37561,48000
14416,39481,48000
14426,39529,48000
14436,41658,48000
14446,41562,48000
14456,42794,48000
14466,43018,48000
14476,42922,48000
14486,40681,48000
14527,28614,48000
14538,28598,48000
14548,28662,48000
14558,28518,48000
14568,28214,48000
14578,28294,48000
14588,28166,48000
14598,29575,48000
14608,28582,48000
14618,29255,48000
14628,29511,48000
14638,29927,48000
14648,29335,48000
14658,29751,48000
14668,29863,48000
14678,30023,48000
14688,29511,48000
14698,30359,48000
14708,29863,48000
14718,29847,48000
14728,29511,48000
14738,29879,48000
14748,30487,48000
14758,29623,48000
14768,29751,48000
14778,30663,48000
14788,30375,48000
14798,30919,48000
14808,32055,48000
14818,32599,48000
14828,31063,48000
14838,30247,48000
14848,28646,48000
14858,28775,48000
14868,28967,48000
14878,28679,48000
14888,29543,48000
14898,28679,48000
14908,28967,48000
14918,28807,48000
14928,28470,48000
14938,32407,48000
14948,46315,48000
14958,47611,48000
14968,12050,48000
14978,22133,48000
14988,30423,48000
14998,31143,48000
15008,29895,48000
15018,30823,48000
15028,30231,48000
15038,31047,48000
15048,31111,48000
15058,31623,48000
15068,31671,48000
15078,31927,48000
15091,32311,48000
15102,33160,48000
15112,33880,48000
15122,35144,48000
15132,35800,48000
15142,37145,48000
15152,38281,48000
15162,38969,48000
15172,39097,48000
15182,39193,48000
15192,37513,48000
15202,33896,48000
15212,30183,48000
15222,27046,48000
15232,26054,48000
15242,25558,48000
15252,24517,48000
15262,24565,48000
15272,25174,48000
15282,24565,48000
15292,25734,48000
15302,25526,48000
15312,25366,48000
15322,26022,48000
15332,26182,48000
15342,26022,48000
15352,26838,48000
15362,27110,48000
15372,27526,48000
15382,26918,48000
15392,27814,48000
15402,27270,48000
15412,27830,48000
15422,27542,48000
15432,27878,48000
15442,28006,48000
15452,28070,48000
15462,27830,48000
15472,28711,48000
15482,28134,48000
15492,29495,48000
15502,30231,48000
15512,30135,48000
15522,31527,48000
15532,31559,48000
15542,30407,48000
15552,28999,48000
15562,28422,48000
15572,28630,48000
15582,28102,48000
15592,29271,48000
15602,29015,48000
15612,29447,48000
15622,29559,48000
15632,29383,48000
15642,30551,48000
15652,40057,48000
15665,52172,48000
15676,18148,48000
15686,20693,48000
15696,32231,48000
15706,32311,48000
15716,31783,48000
15726,33048,48000
15736,32567,48000
15746,32615,48000
15756,33464,48000
15766,33464,48000
